Date,Label
2024-07-07,1.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,0.0
2024-07-11,0.0
2024-07-12,0.0
2024-07-13,0.0
2024-07-14,0.0
2024-07-15,0.0
2024-07-16,0.0
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,0.0
2024-07-25,0.0
2024-07-26,0.0
2024-07-27,0.0
2024-07-28,0.0
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,0.0
2024-08-02,-1.0
2024-08-03,1.0
2024-08-04,0.0
2024-08-05,1.0
2024-08-06,-1.0
2024-08-07,1.0
2024-08-08,-1.0
2024-08-09,1.0
2024-08-10,0.0
2024-08-11,0.0
2024-08-12,0.0
2024-08-13,-1.0
2024-08-14,0.0
2024-08-15,0.0
2024-08-16,1.0
2024-08-17,1.0
2024-08-18,1.0
2024-08-19,0.0
2024-08-20,-1.0
2024-08-21,-1.0
2024-08-22,1.0
2024-08-23,-1.0
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,0.0
2024-08-27,1.0
2024-08-28,1.0
2024-08-29,-1.0
2024-08-30,1.0
2024-08-31,0.0
